,,cut_cost,cut_cost,cut_cost,cut_cost,heuristic_time,heuristic_time,heuristic_time,heuristic_time,workload_id
,,mean,std,min,max,mean,std,min,max,count
model,num_qubits,,,,,,,,,
QCA,882,3751.0,929.4907,2226,4762,3.5734,1.3437,1.6193,5.4014,5
QCA,892,3275.0,1610.6548,1614,5006,2.8707,2.9345,0.2951,6.2168,5
QCA,902,3698.6,1017.4786,2544,4854,3.0863,1.7789,1.2914,5.3522,5
QCA,912,3549.8,905.6709,2065,4465,2.6679,1.2807,0.7859,4.0812,5
QCA,922,3711.6,1443.7423,1919,5115,3.3994,2.0752,0.8032,5.4554,5
QCA,932,3760.2,921.6364,2801,4752,2.7493,1.718,1.047,4.8009,5
QCA,942,4798.0,418.015,4302,5391,4.6675,0.9206,3.2947,5.5239,5
QCA,952,3512.4,1804.2057,1763,5374,2.9615,2.8314,0.2695,6.1759,5
QCA,962,2774.2,1282.3666,1790,4980,1.9007,2.0585,0.4027,5.5268,5
QCA,972,4112.2,1015.9546,2831,5199,3.9378,2.6097,1.5146,7.0955,5
QCA,982,3842.0,1700.8729,1726,5346,4.1698,3.4679,0.3486,7.6165,5
QCA,992,3430.6,800.9003,2491,4472,2.2332,1.4257,0.7314,4.4363,5
QW,2,4.8,1.3038,4,7,0.0002,0.0001,0.0001,0.0003,5
QW,12,11.8,11.077,3,31,0.0008,0.0004,0.0004,0.0015,5
QW,22,26.6,11.0815,18,44,0.0022,0.0004,0.0019,0.0028,5
QW,32,53.2,9.4446,41,65,0.003,0.0008,0.0017,0.0037,5
QW,42,58.6,27.5372,37,101,0.0033,0.0017,0.0019,0.0058,5
QW,52,80.8,34.6006,50,124,0.0071,0.005,0.0025,0.0146,5
QW,62,92.6,27.3459,63,122,0.0079,0.0027,0.005,0.0124,5
QW,72,129.4,33.6645,79,170,0.0154,0.0029,0.0109,0.0184,5
QW,82,148.4,22.821,119,176,0.0142,0.0035,0.01,0.0182,5
QW,92,182.8,17.5841,163,211,0.0184,0.0055,0.0147,0.0282,5
QW,102,222.0,46.1194,150,263,0.028,0.0092,0.018,0.0367,5
QW,112,274.8,27.3715,227,297,0.0335,0.0066,0.0236,0.0399,5
QW,122,304.2,37.7452,240,337,0.0467,0.0095,0.0308,0.0558,5
QW,132,318.0,46.4112,249,363,0.0513,0.0151,0.034,0.0723,5
QW,142,315.0,19.1442,289,343,0.0556,0.0167,0.037,0.08,5
QW,152,288.4,64.8406,228,392,0.0461,0.0248,0.0239,0.0857,5
QW,162,362.4,89.0213,242,455,0.0645,0.0294,0.0275,0.0981,5
QW,172,403.8,46.1703,350,468,0.0688,0.0105,0.059,0.0823,5
QW,182,383.8,57.2687,307,468,0.0825,0.0273,0.0666,0.1309,5
QW,192,325.4,41.4343,268,377,0.0536,0.0143,0.0376,0.0716,5
QW,202,407.0,69.814,331,487,0.0695,0.0262,0.043,0.1089,5
