circuit,overhead,cut_cost,num_qubits,num_nodes,num_hyperedges,k,cap
dj_indep_qiskit_31,1.0,50,302,0,0,4,75
dj_indep_qiskit_31,1.1,50,302,0,0,4,83
dj_indep_qiskit_31,1.2,50,302,0,0,4,90
dj_indep_qiskit_31,1.3,50,302,0,0,4,98
dj_indep_qiskit_31,1.5,50,302,0,0,4,113
dj_indep_qiskit_31,2.0,50,302,0,0,4,151
realamprandom_indep_qiskit_13,1.0,19,1482,0,0,4,370
realamprandom_indep_qiskit_13,1.1,19,1482,0,0,4,407
realamprandom_indep_qiskit_13,1.2,19,1482,0,0,4,444
realamprandom_indep_qiskit_13,1.3,19,1482,0,0,4,481
realamprandom_indep_qiskit_13,1.5,19,1482,0,0,4,555
realamprandom_indep_qiskit_13,2.0,19,1482,0,0,4,741
ae_indep_qiskit_54,1.0,91,9225,0,0,4,2306
ae_indep_qiskit_54,1.1,91,9225,0,0,4,2536
ae_indep_qiskit_54,1.2,91,9225,0,0,4,2767
ae_indep_qiskit_54,1.3,91,9225,0,0,4,2998
ae_indep_qiskit_54,1.5,91,9225,0,0,4,3459
ae_indep_qiskit_54,2.0,91,9225,0,0,4,4612
dj_indep_qiskit_25,1.0,40,242,0,0,4,60
dj_indep_qiskit_25,1.1,40,242,0,0,4,66
dj_indep_qiskit_25,1.2,40,242,0,0,4,72
dj_indep_qiskit_25,1.3,40,242,0,0,4,78
dj_indep_qiskit_25,1.5,40,242,0,0,4,90
dj_indep_qiskit_25,2.0,40,242,0,0,4,121
realamprandom_indep_qiskit_101,1.0,173,91506,0,0,4,22876
realamprandom_indep_qiskit_101,1.1,173,91506,0,0,4,25164
realamprandom_indep_qiskit_101,1.2,173,91506,0,0,4,27451
realamprandom_indep_qiskit_101,1.3,173,91506,0,0,4,29739
realamprandom_indep_qiskit_101,1.5,173,91506,0,0,4,34314
realamprandom_indep_qiskit_101,2.0,173,91506,0,0,4,45753
qpeinexact_indep_qiskit_119,1.0,204,42954,0,0,4,10738
qpeinexact_indep_qiskit_119,1.1,204,42954,0,0,4,11812
qpeinexact_indep_qiskit_119,1.2,204,42954,0,0,4,12886
qpeinexact_indep_qiskit_119,1.3,204,42954,0,0,4,13960
qpeinexact_indep_qiskit_119,1.5,204,42954,0,0,4,16107
qpeinexact_indep_qiskit_119,2.0,204,42954,0,0,4,21477
random_indep_qiskit_74,1.0,768,48017,0,0,4,12004
random_indep_qiskit_74,1.1,768,48017,0,0,4,13204
random_indep_qiskit_74,1.2,768,48017,0,0,4,14405
random_indep_qiskit_74,1.3,768,48017,0,0,4,15605
random_indep_qiskit_74,1.5,768,48017,0,0,4,18006
random_indep_qiskit_74,2.0,768,48017,0,0,4,24008
realamprandom_indep_qiskit_129,1.0,222,149382,0,0,4,37345
realamprandom_indep_qiskit_129,1.1,222,149382,0,0,4,41080
realamprandom_indep_qiskit_129,1.2,222,149382,0,0,4,44814
realamprandom_indep_qiskit_129,1.3,222,149382,0,0,4,48549
realamprandom_indep_qiskit_129,1.5,222,149382,0,0,4,56018
realamprandom_indep_qiskit_129,2.0,222,149382,0,0,4,74691
su2random_indep_qiskit_81,1.0,138,58806,0,0,4,14701
su2random_indep_qiskit_81,1.1,138,58806,0,0,4,16171
su2random_indep_qiskit_81,1.2,138,58806,0,0,4,17641
su2random_indep_qiskit_81,1.3,138,58806,0,0,4,19111
su2random_indep_qiskit_81,1.5,138,58806,0,0,4,22052
su2random_indep_qiskit_81,2.0,138,58806,0,0,4,29403
wstate_indep_qiskit_4,1.0,5,51,0,0,4,12
wstate_indep_qiskit_4,1.1,5,51,0,0,4,14
