circuit,num_qubits,num_nodes,num_quantum_nodes,num_edges,k,overhead,capacity,optimal_cost,heuristic_cost,ratio,brute_force_time,heuristic_time,method,optimal_qubit_counts,heuristic_qubit_counts
portfoliovqe_indep_qiskit_8,8,552,544,460,3,1.2,4,52.0,75.0,1.4423076923076923,1.2460780143737793,0.02862691879272461,QUBIT-LEVEL,"[4, 4, 0]","[4, 4, 4]"
qwalk-noancilla_indep_qiskit_3,3,109,106,88,3,1.0,1,14.0,14.0,1.0,0.0008940696716308594,0.0016679763793945312,QUBIT-LEVEL,"[1, 1, 1]","[1, 1, 1]"
qwalk-noancilla_indep_qiskit_3,3,109,106,88,3,1.1,2,7.0,15.0,2.142857142857143,0.0015807151794433594,0.0013897418975830078,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]"
qwalk-noancilla_indep_qiskit_3,3,109,106,88,3,1.2,2,7.0,15.0,2.142857142857143,0.0016779899597167969,0.001425027847290039,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]"
qaoa_indep_qiskit_5,5,85,80,70,3,1.0,2,9.0,13.0,1.4444444444444444,0.0040378570556640625,0.0012149810791015625,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]"
qaoa_indep_qiskit_5,5,85,80,70,3,1.1,2,9.0,13.0,1.4444444444444444,0.004453182220458984,0.0012621879577636719,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]"
qaoa_indep_qiskit_5,5,85,80,70,3,1.2,2,9.0,13.0,1.4444444444444444,0.0040318965911865234,0.0012509822845458984,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]"
pricingcall_indep_qiskit_5,5,170,165,139,3,1.0,2,11.0,28.0,2.5454545454545454,0.007966995239257812,0.00417780876159668,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]"
pricingcall_indep_qiskit_5,5,170,165,139,3,1.1,2,11.0,28.0,2.5454545454545454,0.007753849029541016,0.004561901092529297,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]"
pricingcall_indep_qiskit_5,5,170,165,139,3,1.2,2,11.0,28.0,2.5454545454545454,0.008346080780029297,0.004118919372558594,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]"
qpeinexact_indep_qiskit_10,10,332,323,273,3,1.0,4,37.0,42.0,1.135135135135135,3.4273898601531982,0.01236414909362793,QUBIT-LEVEL,"[4, 4, 2]","[4, 4, 4]"
qpeinexact_indep_qiskit_10,10,332,323,273,3,1.1,4,37.0,42.0,1.135135135135135,3.4035189151763916,0.011954069137573242,QUBIT-LEVEL,"[4, 4, 2]","[4, 4, 4]"
qpeinexact_indep_qiskit_10,10,332,323,273,3,1.2,4,37.0,42.0,1.135135135135135,3.380488872528076,0.012428045272827148,QUBIT-LEVEL,"[4, 4, 2]","[4, 4, 4]"
twolocalrandom_indep_qiskit_4,4,132,128,110,3,1.0,2,14.0,24.0,1.7142857142857142,0.0036890506744384766,0.0022628307342529297,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]"
twolocalrandom_indep_qiskit_4,4,132,128,110,3,1.1,2,14.0,24.0,1.7142857142857142,0.003659963607788086,0.0022630691528320312,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]"
twolocalrandom_indep_qiskit_4,4,132,128,110,3,1.2,2,14.0,24.0,1.7142857142857142,0.003504037857055664,0.0024199485778808594,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]"
wstate_indep_qiskit_12,12,179,167,145,3,1.0,4,12.0,15.0,1.25,3.442852020263672,0.003912925720214844,QUBIT-LEVEL,"[4, 4, 4]","[4, 4, 4]"
wstate_indep_qiskit_12,12,179,167,145,3,1.1,5,11.0,25.0,2.272727272727273,21.30573010444641,0.0025322437286376953,QUBIT-LEVEL,"[5, 5, 2]","[5, 5, 5]"
wstate_indep_qiskit_12,12,179,167,145,3,1.2,5,11.0,25.0,2.272727272727273,21.028823852539062,0.0024089813232421875,QUBIT-LEVEL,"[5, 5, 2]","[5, 5, 5]"
ghz_indep_qiskit_5,5,35,30,26,3,1.0,2,5.0,9.0,1.8,0.0019140243530273438,0.0003769397735595703,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]"
ghz_indep_qiskit_5,5,35,30,26,3,1.1,2,5.0,9.0,1.8,0.002051115036010742,0.0003731250762939453,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]"
ghz_indep_qiskit_5,5,35,30,26,3,1.2,2,5.0,9.0,1.8,0.0019409656524658203,0.000354766845703125,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]"
qftentangled_indep_qiskit_6,6,157,151,128,3,1.0,2,20.0,18.0,0.9,0.007843255996704102,0.004502773284912109,QUBIT-LEVEL,"[2, 2, 2]","[2, 2, 2]"
qftentangled_indep_qiskit_6,6,157,151,128,3,1.1,3,15.0,30.0,2.0,0.037323951721191406,0.0030629634857177734,QUBIT-LEVEL,"[3, 3, 0]","[3, 3, 3]"
